,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak
0,"Thursday, Apr 1",ARI,@,SDP,L,7.0,8.0,9.0,0-1,3.0,1.0,Pagan,Young,Melancon,3:26,D,10350.0,1.09,-1.0
1,"Friday, Apr 2",ARI,@,SDP,L,2.0,4.0,9.0,0-2,5.0,2.0,Pagan,Kelly,Melancon,3:53,N,10350.0,1.04,-2.0
2,"Saturday, Apr 3",ARI,@,SDP,L,0.0,7.0,9.0,0-3,5.0,3.0,Musgrove,Smith,Weathers,2:58,N,10350.0,.95,-3.0
3,"Sunday, Apr 4",ARI,@,SDP,W,3.0,1.0,9.0,1-3,4.0,2.0,Widener,Paddack,Devenski,3:19,D,10350.0,.94,1.0
4,"Tuesday, Apr 6",ARI,@,COL,W,10.0,8.0,13.0,2-3,3.0,2.5,Peacock,Bowden,None,4:29,N,10240.0,.93,2.0
5,"Wednesday, Apr 7",ARI,@,COL,L,0.0,8.0,9.0,2-4,4.0,2.5,Senzatela,Bumgarner,None,2:57,N,12894.0,.97,-1.0
6,"Thursday, Apr 8",ARI,@,COL,L,3.0,7.0,9.0,2-5,5.0,3.0,Gray,Kelly,Bard,2:51,D,10836.0,1.00,-2.0
7,"Friday, Apr 9",ARI,Home,CIN,L,5.0,6.0,10.0,2-6,5.0,4.0,Pérez,Young,Garrett,3:47,N,19385.0,.85,-3.0
8,"Saturday, Apr 10",ARI,Home,CIN,W,8.0,3.0,9.0,3-6,4.0,4.0,Smith,Hoffman,None,3:09,N,13208.0,.77,1.0
9,"Sunday, Apr 11",ARI,Home,CIN,W,7.0,0.0,9.0,4-6,4.0,4.0,Weaver,De Leon,None,2:39,D,10981.0,.79,2.0
10,"Monday, Apr 12",ARI,Home,OAK,L,5.0,9.0,9.0,4-7,4.0,4.5,Bassitt,Bumgarner,None,3:29,N,8768.0,.78,-1.0
11,"Tuesday, Apr 13",ARI,Home,OAK,L,5.0,7.0,9.0,4-8,4.0,5.5,Petit,Swarzak,Trivino,3:39,D,7010.0,.72,-2.0
12,"Thursday, Apr 15",ARI,@,WSN,W,11.0,6.0,9.0,5-8,4.0,6.0,Kelly,Corbin,None,3:26,N,6666.0,.73,1.0
13,"Friday, Apr 16",ARI,@,WSN,L-wo,0.0,1.0,9.0,5-9,4.0,7.0,Hand,Young,None,2:54,N,8056.0,.76,-1.0
14,"Saturday, Apr 17",ARI,@,WSN,L,2.0,6.0,9.0,5-10,4.0,8.0,Fedde,Weaver,None,3:23,D,8305.0,.74,-2.0
15,"Sunday, Apr 18",ARI,@,WSN,W,5.0,2.0,9.0,6-10,4.0,7.0,Bumgarner,Espino,Crichton,3:20,D,8478.0,.67,1.0
16,"Tuesday, Apr 20",ARI,@,CIN,W,5.0,4.0,9.0,7-10,4.0,6.5,Bukauskas,Garrett,Crichton,3:54,N,8085.0,.72,2.0
17,"Wednesday, Apr 21",ARI,@,CIN,W,8.0,5.0,10.0,8-10,4.0,6.0,Clarke,Pérez,None,3:40,N,8025.0,.78,3.0
18,"Thursday, Apr 22",ARI,@,CIN,W,14.0,11.0,10.0,9-10,4.0,5.0,Smith,Sims,None,4:26,D,7549.0,.82,4.0
19,"Friday, Apr 23",ARI,@,ATL,L,4.0,5.0,9.0,9-11,4.0,5.0,Ynoa,Weaver,Smith,2:47,N,19258.0,.92,-1.0
21,"Sunday, Apr 25 (2)",ARI,@,ATL,W,7.0,0.0,7.0,11-11,4.0,4.0,Bumgarner,Smyly,None,2:11,N,20693.0,.87,2.0
22,"Tuesday, Apr 27",ARI,Home,SDP,W,5.0,1.0,9.0,12-11,3.0,2.5,Kelly,Paddack,None,2:53,N,10486.0,1.01,3.0
23,"Wednesday, Apr 28",ARI,Home,SDP,L,3.0,12.0,9.0,12-12,4.0,3.5,Northcraft,Smith,None,3:05,N,9495.0,1.12,-1.0
24,"Thursday, Apr 29",ARI,Home,COL,W,5.0,3.0,9.0,13-12,4.0,3.0,Smith,Stephenson,Crichton,3:01,N,6843.0,1.00,1.0
25,"Friday, Apr 30",ARI,Home,COL,W,7.0,2.0,9.0,14-12,4.0,2.0,Bumgarner,Gray,None,2:58,N,13184.0,1.05,2.0
26,"Saturday, May 1",ARI,Home,COL,L,6.0,14.0,9.0,14-13,4.0,2.0,Gomber,Gallen,None,3:41,N,15734.0,1.11,-1.0
27,"Sunday, May 2",ARI,Home,COL,W,8.0,4.0,9.0,15-13,4.0,2.0,Devenski,Bard,None,3:29,D,11395.0,1.07,1.0
28,"Tuesday, May 4",ARI,@,MIA,L,3.0,9.0,9.0,15-14,4.0,2.5,Bleier,Ginkel,None,3:17,N,3898.0,1.05,-1.0
29,"Wednesday, May 5",ARI,@,MIA,L,0.0,8.0,9.0,15-15,4.0,2.5,Holloway,Weaver,None,2:57,N,3573.0,1.04,-2.0
30,"Thursday, May 6",ARI,@,MIA,L,1.0,3.0,9.0,15-16,4.0,3.0,Floro,Bukauskas,Garcia,2:44,N,4049.0,1.02,-3.0
31,"Friday, May 7",ARI,@,NYM,L-wo,4.0,5.0,10.0,15-17,4.0,4.0,Loup,Crichton,None,3:52,N,7662.0,.99,-4.0
32,"Saturday, May 8",ARI,@,NYM,L,2.0,4.0,9.0,15-18,4.0,5.0,Lucchesi,Kelly,May,3:30,N,7908.0,.94,-5.0
33,"Sunday, May 9",ARI,@,NYM,L,2.0,4.0,9.0,15-19,4.0,5.0,deGrom,Smith,Diaz,3:27,D,7880.0,.90,-6.0
34,"Monday, May 10",ARI,Home,MIA,W,5.0,2.0,9.0,16-19,4.0,5.0,Weaver,Holloway,Crichton,2:47,N,6307.0,.81,1.0
35,"Tuesday, May 11",ARI,Home,MIA,W,11.0,3.0,9.0,17-19,4.0,5.0,Bumgarner,Lopez,None,3:02,N,5560.0,.89,2.0
36,"Wednesday, May 12",ARI,Home,MIA,L,2.0,3.0,9.0,17-20,4.0,5.5,Poteet,Peacock,Garcia,2:41,N,5714.0,.91,-1.0
37,"Thursday, May 13",ARI,Home,MIA,L,1.0,5.0,9.0,17-21,4.0,6.5,Rogers,Kelly,None,2:55,N,5967.0,.81,-2.0
38,"Friday, May 14",ARI,Home,WSN,L,2.0,17.0,9.0,17-22,4.0,6.5,Scherzer,Smith,None,3:14,N,11907.0,.75,-3.0
39,"Saturday, May 15",ARI,Home,WSN,W,11.0,4.0,9.0,18-22,4.0,5.5,Young,Ross,None,3:27,N,13462.0,.68,1.0
40,"Sunday, May 16",ARI,Home,WSN,L,0.0,3.0,9.0,18-23,4.0,6.5,Fedde,Crichton,Hand,2:49,D,11619.0,.76,-1.0
41,"Monday, May 17",ARI,@,LAD,L,1.0,3.0,9.0,18-24,4.0,7.5,Buehler,Bumgarner,Jansen,3:05,N,14088.0,.76,-2.0
42,"Tuesday, May 18",ARI,@,LAD,L,1.0,9.0,9.0,18-25,4.0,8.5,Urias,Martin,None,2:50,N,15313.0,.70,-3.0
43,"Wednesday, May 19",ARI,@,LAD,L,2.0,4.0,9.0,18-26,4.0,9.5,Kelly,Mantiply,Jansen,2:56,N,15586.0,.61,-4.0
44,"Thursday, May 20",ARI,@,LAD,L,2.0,3.0,9.0,18-27,4.0,10.5,Gonzalez,Kelly,Jansen,2:54,N,16105.0,.51,-5.0
45,"Friday, May 21",ARI,@,COL,L,1.0,7.0,9.0,18-28,4.0,10.5,Marquez,Frankoff,None,2:45,N,18158.0,.39,-6.0
46,"Saturday, May 22",ARI,@,COL,L,6.0,7.0,9.0,18-29,4.0,11.5,Kinley,Bumgarner,Bard,3:19,D,20183.0,.34,-7.0
47,"Sunday, May 23",ARI,@,COL,L-wo,3.0,4.0,9.0,18-30,5.0,12.5,Bard,Crichton,None,3:20,D,19221.0,.30,-8.0
48,"Tuesday, May 25",ARI,Home,SFG,L,0.0,8.0,9.0,18-31,5.0,13.0,Gausman,Martin,None,3:16,N,10311.0,.26,-9.0
49,"Wednesday, May 26",ARI,Home,SFG,L,4.0,5.0,9.0,18-32,5.0,14.0,Tropeano,Young,Rogers,3:03,N,8597.0,.22,-10.0
50,"Thursday, May 27",ARI,Home,STL,L,4.0,5.0,10.0,18-33,5.0,14.0,Reyes,Crichton,Ponce de Leon,3:28,N,8951.0,.16,-11.0
51,"Friday, May 28",ARI,Home,STL,L,6.0,8.0,9.0,18-34,5.0,15.0,Woodford,Bumgarner,Ponce de Leon,3:28,N,11581.0,.13,-12.0
52,"Saturday, May 29",ARI,Home,STL,L,4.0,7.0,9.0,18-35,5.0,16.0,Wainwright,Frankoff,Reyes,3:24,N,17834.0,.11,-13.0
53,"Sunday, May 30",ARI,Home,STL,W,9.0,2.0,9.0,19-35,5.0,15.0,Peacock,Kim,Smith,2:59,D,16681.0,.08,1.0
54,"Monday, May 31",ARI,Home,NYM,L,2.0,6.0,9.0,19-36,5.0,15.5,deGrom,Kelly,None,2:58,N,11309.0,.10,-1.0
55,"Tuesday, Jun 1",ARI,Home,NYM,W-wo,6.0,5.0,10.0,20-36,5.0,14.5,Young,May,None,3:27,N,9590.0,.08,1.0
56,"Wednesday, Jun 2",ARI,Home,NYM,L,6.0,7.0,9.0,20-37,5.0,15.0,Castro,Soria,Diaz,3:12,D,9810.0,.09,-1.0
57,"Thursday, Jun 3",ARI,@,MIL,L,4.0,7.0,9.0,20-38,5.0,16.0,Suter,Duplantier,Hader,3:09,N,12392.0,.08,-2.0
58,"Friday, Jun 4",ARI,@,MIL,L,1.0,5.0,9.0,20-39,5.0,17.0,Peralta,Peacock,None,2:40,N,15261.0,.06,-3.0
59,"Saturday, Jun 5",ARI,@,MIL,L,5.0,7.0,9.0,20-40,5.0,18.0,Williams,Soria,Hader,3:12,D,20073.0,.04,-4.0
60,"Sunday, Jun 6",ARI,@,MIL,L,0.0,2.0,9.0,20-41,5.0,18.0,Burnes,Smith,Boxberger,3:04,D,20117.0,.04,-5.0
61,"Tuesday, Jun 8",ARI,@,OAK,L,2.0,5.0,9.0,20-42,5.0,19.0,Bassitt,Duplantier,Trivino,2:44,N,3695.0,.04,-6.0
62,"Wednesday, Jun 9",ARI,@,OAK,L,0.0,4.0,9.0,20-43,5.0,19.0,Manaea,Peacock,None,2:59,D,4090.0,.03,-7.0
63,"Friday, Jun 11",ARI,Home,LAA,L,5.0,6.0,10.0,20-44,5.0,20.0,Iglesias,Buchter,Claudio,4:09,N,18458.0,.02,-8.0
64,"Saturday, Jun 12",ARI,Home,LAA,L,7.0,8.0,9.0,20-45,5.0,20.5,Claudio,Soria,Iglesias,3:23,D,13863.0,.01,-9.0
65,"Sunday, Jun 13",ARI,Home,LAA,L,3.0,10.0,9.0,20-46,5.0,20.5,Sandoval,Duplantier,None,3:05,D,12768.0,.01,-10.0
66,"Monday, Jun 14",ARI,@,SFG,L,2.0,5.0,9.0,20-47,5.0,21.5,Wood,Peacock,McGee,2:59,N,9906.0,.01,-11.0
67,"Tuesday, Jun 15",ARI,@,SFG,L,8.0,9.0,9.0,20-48,5.0,22.5,Sherfy,Castellanos,Rogers,3:03,N,9867.0,.00,-12.0
68,"Wednesday, Jun 16",ARI,@,SFG,L,7.0,13.0,9.0,20-49,5.0,23.5,DeSclafani,Kelly,None,3:36,N,11004.0,.00,-13.0
69,"Thursday, Jun 17",ARI,@,SFG,L,3.0,10.0,9.0,20-50,5.0,24.5,Gausman,Gallen,None,2:54,D,13144.0,.00,-14.0
70,"Friday, Jun 18",ARI,Home,LAD,L,0.0,3.0,9.0,20-51,5.0,25.5,Bauer,Mantiply,Jansen,3:09,N,25356.0,.00,-15.0
71,"Saturday, Jun 19",ARI,Home,LAD,L,3.0,9.0,9.0,20-52,5.0,25.5,Buehler,Peacock,None,3:06,N,29904.0,.00,-16.0
72,"Sunday, Jun 20",ARI,Home,LAD,L,8.0,9.0,9.0,20-53,5.0,26.5,Cleavinger,Young,Jansen,3:39,D,31661.0,.00,-17.0
73,"Monday, Jun 21",ARI,Home,MIL,W,5.0,1.0,9.0,21-53,5.0,26.0,Kelly,Anderson,None,2:55,N,9804.0,.00,1.0
74,"Tuesday, Jun 22",ARI,Home,MIL,L,0.0,5.0,9.0,21-54,5.0,27.0,Peralta,Gallen,None,3:13,N,9358.0,.00,-1.0
75,"Wednesday, Jun 23",ARI,Home,MIL,L,2.0,3.0,9.0,21-55,5.0,28.0,Woodruff,Smith,Hader,3:28,D,8676.0,.00,-2.0
76,"Friday, Jun 25",ARI,@,SDP,L,5.0,11.0,9.0,21-56,5.0,29.0,Ramirez,Martin,None,3:31,N,32583.0,.00,-3.0
77,"Saturday, Jun 26",ARI,@,SDP,W,10.0,1.0,9.0,22-56,5.0,29.0,Kelly,Lamet,None,3:35,N,40557.0,.00,1.0
78,"Sunday, Jun 27",ARI,@,SDP,L,4.0,5.0,9.0,22-57,5.0,29.0,Hill,Peacock,Melancon,3:27,D,34905.0,.00,-1.0
79,"Monday, Jun 28",ARI,@,STL,L,1.0,7.0,9.0,22-58,5.0,29.0,Gallegos,Young,None,3:33,N,27175.0,.00,-2.0
80,"Tuesday, Jun 29",ARI,@,STL,L,2.0,3.0,9.0,22-59,5.0,29.0,Martinez,Smith,Reyes,3:11,N,28740.0,.00,-3.0
81,"Wednesday, Jun 30",ARI,@,STL,L,4.0,7.0,9.0,22-60,5.0,29.5,Kim,Smith,Reyes,3:20,D,27235.0,.00,-4.0
82,"Thursday, Jul 1",ARI,Home,SFG,W,5.0,3.0,9.0,23-60,5.0,28.5,Kelly,Cueto,Soria,2:37,N,9172.0,.00,1.0
83,"Friday, Jul 2",ARI,Home,SFG,L,4.0,11.0,9.0,23-61,5.0,29.5,Wood,Gallen,None,3:40,N,12262.0,.00,-1.0
84,"Saturday, Jul 3",ARI,Home,SFG,L,5.0,6.0,9.0,23-62,5.0,30.5,Leone,Buchter,McGee,3:47,N,23689.0,.00,-2.0
85,"Sunday, Jul 4",ARI,Home,SFG,L,2.0,5.0,9.0,23-63,5.0,31.5,DeSclafani,Smith,Rogers,2:43,N,27032.0,.00,-3.0
86,"Tuesday, Jul 6",ARI,Home,COL,W-wo,4.0,3.0,9.0,24-63,5.0,30.0,Soria,Bard,None,3:17,N,6847.0,.00,1.0
87,"Wednesday, Jul 7",ARI,Home,COL,W,6.0,4.0,9.0,25-63,5.0,30.0,Peacock,Senzatela,Soria,3:02,N,7852.0,.00,2.0
88,"Thursday, Jul 8",ARI,Home,COL,L,3.0,9.0,9.0,25-64,5.0,30.5,Gonzalez,Weems,None,3:23,D,7740.0,.00,-1.0
89,"Friday, Jul 9",ARI,@,LAD,W,5.0,2.0,9.0,26-64,5.0,30.5,de Geus,Núñez,Soria,3:34,N,49215.0,.00,1.0
90,"Saturday, Jul 10",ARI,@,LAD,L,1.0,22.0,9.0,26-65,5.0,31.5,Buehler,Smith,None,3:19,N,44654.0,.00,-1.0
91,"Sunday, Jul 11",ARI,@,LAD,L-wo,4.0,7.0,9.0,26-66,5.0,32.5,Jansen,Bukauskas,None,3:40,D,40464.0,.00,-2.0
92,"Friday, Jul 16",ARI,Home,CHC,L,1.0,5.0,9.0,26-67,5.0,33.5,Hendricks,Bumgarner,None,3:09,N,22046.0,.00,-3.0
93,"Saturday, Jul 17",ARI,Home,CHC,L,2.0,4.0,9.0,26-68,5.0,33.5,Brothers,Soria,Kimbrel,3:15,D,20180.0,.00,-4.0
94,"Sunday, Jul 18",ARI,Home,CHC,W,6.0,4.0,9.0,27-68,5.0,32.5,Kelly,Winkler,Soria,3:09,D,21457.0,.00,1.0
95,"Monday, Jul 19",ARI,Home,PIT,W,4.0,2.0,9.0,28-68,5.0,32.5,Smith,De Jong,Soria,3:25,N,9173.0,.00,2.0
96,"Tuesday, Jul 20",ARI,Home,PIT,W,11.0,6.0,9.0,29-68,5.0,31.5,Bukauskas,Davis,None,3:11,N,7283.0,.00,3.0
97,"Wednesday, Jul 21",ARI,Home,PIT,W,6.0,4.0,9.0,30-68,5.0,31.5,de Geus,Underwood,Soria,3:24,D,7863.0,.00,4.0
98,"Friday, Jul 23",ARI,@,CHC,L,3.0,8.0,9.0,30-69,5.0,32.0,Davies,Gallen,Thompson,3:11,D,34059.0,.00,-1.0
99,"Saturday, Jul 24",ARI,@,CHC,W,7.0,3.0,9.0,31-69,5.0,31.0,Kelly,Chafin,None,3:15,D,37190.0,.00,1.0
100,"Sunday, Jul 25",ARI,@,CHC,L,1.0,5.0,9.0,31-70,5.0,32.0,Williams,Smith,Kimbrel,3:13,D,32602.0,.00,-1.0
101,"Tuesday, Jul 27",ARI,@,TEX,L,4.0,5.0,9.0,31-71,5.0,33.0,Dunning,Widener,Kennedy,3:08,N,27336.0,.00,-2.0
102,"Wednesday, Jul 28",ARI,@,TEX,W,3.0,2.0,9.0,32-71,5.0,32.0,Bumgarner,Martin,Clippard,2:42,N,26607.0,.00,1.0
103,"Friday, Jul 30",ARI,Home,LAD,W-wo,6.0,5.0,10.0,33-71,5.0,31.5,Peacock,Nelson,None,4:33,N,20780.0,.00,2.0
104,"Saturday, Jul 31",ARI,Home,LAD,L,3.0,8.0,9.0,33-72,5.0,32.5,Vesia,Kelly,None,3:33,N,23814.0,.00,-1.0
105,"Sunday, Aug 1",ARI,Home,LAD,L,0.0,13.0,9.0,33-73,5.0,33.5,Urias,Smith,None,3:13,D,17195.0,.00,-2.0
106,"Monday, Aug 2",ARI,Home,SFG,L,8.0,11.0,10.0,33-74,5.0,34.5,Garcia,Aguilar,None,4:04,N,8904.0,.00,-3.0
107,"Tuesday, Aug 3",ARI,Home,SFG,W,3.0,1.0,9.0,34-74,5.0,33.5,Bumgarner,Cueto,Clippard,3:10,N,8809.0,.00,1.0
108,"Wednesday, Aug 4",ARI,Home,SFG,L,1.0,7.0,9.0,34-75,5.0,34.5,Gausman,Gallen,None,3:31,N,8091.0,.00,-1.0
109,"Thursday, Aug 5",ARI,Home,SFG,L,4.0,5.0,10.0,34-76,5.0,35.5,Rogers,Gilbert,McGee,3:40,D,8773.0,.00,-2.0
110,"Friday, Aug 6",ARI,@,SDP,W,8.0,5.0,9.0,35-76,5.0,34.5,Peacock,Weathers,Poppen,3:09,N,34038.0,.00,1.0
111,"Saturday, Aug 7",ARI,@,SDP,L,2.0,6.0,9.0,35-77,5.0,35.5,Pomeranz,de Geus,None,3:18,N,39134.0,.00,-1.0
112,"Sunday, Aug 8",ARI,@,SDP,L,0.0,2.0,9.0,35-78,5.0,36.5,Snell,Bumgarner,Melancon,2:43,D,30989.0,.00,-2.0
113,"Tuesday, Aug 10",ARI,@,SFG,L-wo,7.0,8.0,9.0,35-79,5.0,37.5,Littell,Peacock,None,3:10,N,23802.0,.00,-3.0
114,"Wednesday, Aug 11",ARI,@,SFG,L,2.0,7.0,9.0,35-80,5.0,38.5,Gausman,Kelly,None,3:14,N,20037.0,.00,-4.0
115,"Thursday, Aug 12",ARI,Home,SDP,W,12.0,3.0,9.0,36-80,5.0,38.5,Smith,Darvish,None,3:42,N,9086.0,.00,1.0
116,"Friday, Aug 13",ARI,Home,SDP,W-wo,3.0,2.0,9.0,37-80,5.0,38.5,Clippard,Stammen,None,3:06,N,12866.0,.00,2.0
117,"Saturday, Aug 14",ARI,Home,SDP,W,7.0,0.0,9.0,38-80,5.0,37.5,Gilbert,Musgrove,None,2:31,N,16716.0,.00,3.0
118,"Sunday, Aug 15",ARI,Home,SDP,L,2.0,8.0,9.0,38-81,5.0,38.5,Knehr,Gallen,None,3:19,D,17722.0,.00,-1.0
119,"Tuesday, Aug 17",ARI,Home,PHI,W,3.0,2.0,9.0,39-81,5.0,39.0,Aguilar,Gibson,Clippard,2:49,N,7796.0,.00,1.0
120,"Wednesday, Aug 18",ARI,Home,PHI,W,4.0,2.0,9.0,40-81,5.0,38.0,Castellanos,Suarez,Clippard,2:57,N,7968.0,.00,2.0
121,"Thursday, Aug 19",ARI,Home,PHI,W,6.0,2.0,9.0,41-81,5.0,37.5,Bumgarner,Wheeler,None,2:48,D,7165.0,.00,3.0
122,"Friday, Aug 20",ARI,@,COL,L,4.0,9.0,9.0,41-82,5.0,37.5,Stephenson,de Geus,None,3:16,N,30243.0,.00,-1.0
123,"Saturday, Aug 21",ARI,@,COL,L-wo,2.0,5.0,9.0,41-83,5.0,38.5,Bard,Wendelken,None,3:04,N,32699.0,.00,-2.0
124,"Sunday, Aug 22",ARI,@,COL,W,8.0,4.0,9.0,42-83,5.0,38.5,Widener,Gray,None,3:50,D,24552.0,.00,1.0
125,"Monday, Aug 23",ARI,@,PIT,L,5.0,6.0,9.0,42-84,5.0,39.0,Banda,Ramirez,Bednar,3:40,N,8596.0,.00,-1.0
126,"Tuesday, Aug 24",ARI,@,PIT,L,2.0,4.0,9.0,42-85,5.0,40.0,Brubaker,Bumgarner,Stratton,2:46,N,8478.0,.00,-2.0
127,"Wednesday, Aug 25",ARI,@,PIT,W,5.0,2.0,9.0,43-85,5.0,40.0,de Geus,Banda,Clippard,3:18,N,8357.0,.00,1.0
128,"Thursday, Aug 26",ARI,@,PHI,W,8.0,7.0,9.0,44-85,5.0,40.0,Gallen,Moore,Ramirez,3:54,N,20148.0,.00,2.0
129,"Friday, Aug 27",ARI,@,PHI,L-wo,6.0,7.0,11.0,44-86,5.0,40.0,De Los Santos,Clarke,None,4:12,N,23181.0,.00,-1.0
130,"Saturday, Aug 28",ARI,@,PHI,L,0.0,7.0,9.0,44-87,5.0,41.0,Gibson,Mejia,None,2:57,N,24692.0,.00,-2.0
131,"Sunday, Aug 29",ARI,@,PHI,L,4.0,7.0,9.0,44-88,5.0,41.0,Suarez,Bumgarner,Kennedy,3:25,D,22237.0,.00,-3.0
132,"Monday, Aug 30",ARI,Home,SDP,L,5.0,7.0,9.0,44-89,5.0,41.0,Stammen,Gilbert,Melancon,3:35,N,8482.0,.00,-4.0
133,"Tuesday, Aug 31",ARI,Home,SDP,L,0.0,3.0,9.0,44-90,5.0,41.0,Snell,Gallen,Melancon,3:05,N,10818.0,.00,-5.0
134,"Wednesday, Sep 1",ARI,Home,SDP,W,8.0,3.0,9.0,45-90,5.0,40.5,Weaver,Darvish,None,3:16,D,5945.0,.00,1.0
135,"Friday, Sep 3",ARI,Home,SEA,L,5.0,6.0,10.0,45-91,5.0,41.5,Sheffield,Clarke,Ramirez,3:31,N,12729.0,.00,-1.0
136,"Saturday, Sep 4",ARI,Home,SEA,L,5.0,8.0,9.0,45-92,5.0,41.5,Gonzales,Smith,Castillo,3:10,N,18819.0,.00,-2.0
137,"Sunday, Sep 5",ARI,Home,SEA,L,4.0,10.0,11.0,45-93,5.0,42.5,Ramirez,Clarke,None,3:49,D,14408.0,.00,-3.0
138,"Tuesday, Sep 7",ARI,Home,TEX,L,1.0,3.0,9.0,45-94,5.0,44.0,Lyles,Gallen,None,2:47,N,8758.0,.00,-4.0
139,"Wednesday, Sep 8",ARI,Home,TEX,L,5.0,8.0,9.0,45-95,5.0,45.0,Cotton,Weaver,Barlow,3:35,D,6354.0,.00,-5.0
162,"Thursday, Apr 1",ATL,@,PHI,L-wo,2.0,3.0,10.0,0-1,4.0,1.0,Brogdon,Jones,None,3:33,D,8529.0,1.05,-1.0
163,"Saturday, Apr 3",ATL,@,PHI,L,0.0,4.0,9.0,0-2,5.0,2.0,Wheeler,Morton,None,2:30,D,8582.0,1.07,-2.0
164,"Sunday, Apr 4",ATL,@,PHI,L,1.0,2.0,9.0,0-3,5.0,3.0,Alvarado,Martin,Neris,2:40,D,10773.0,.99,-3.0
165,"Tuesday, Apr 6",ATL,@,WSN,L-wo,5.0,6.0,9.0,0-4,5.0,3.5,Hudson,Smith,None,3:10,D,4801.0,.95,-4.0
167,"Wednesday, Apr 7 (2)",ATL,@,WSN,W,2.0,0.0,7.0,2-4,4.0,3.0,Jackson,Rainey,Newcomb,2:08,N,4927.0,.92,2.0
168,"Friday, Apr 9",ATL,Home,PHI,W,8.0,1.0,9.0,3-4,3.0,2.0,Morton,Wheeler,None,3:03,N,14342.0,1.07,3.0
169,"Saturday, Apr 10",ATL,Home,PHI,W,5.0,4.0,9.0,4-4,2.0,1.0,Newcomb,Bradley,Smith,2:50,N,14394.0,1.15,4.0
170,"Sunday, Apr 11",ATL,Home,PHI,L,6.0,7.0,9.0,4-5,3.0,2.0,Alvarado,Smith,Neris,3:03,N,14221.0,1.22,-1.0
171,"Monday, Apr 12",ATL,Home,MIA,L,3.0,5.0,10.0,4-6,3.0,2.5,Garcia,Webb,None,3:45,N,11830.0,1.06,-2.0
172,"Tuesday, Apr 13",ATL,Home,MIA,L,8.0,14.0,9.0,4-7,3.0,2.5,Curtiss,Fried,None,3:51,N,12036.0,.92,-3.0
173,"Wednesday, Apr 14",ATL,Home,MIA,L,5.0,6.0,10.0,4-8,5.0,3.5,Curtiss,Matzek,Garcia,3:26,N,12480.0,.95,-4.0
174,"Thursday, Apr 15",ATL,Home,MIA,W-wo,7.0,6.0,9.0,5-8,3.0,3.0,Minter,Floro,None,3:24,D,11739.0,.89,1.0
175,"Friday, Apr 16",ATL,@,CHC,W,5.0,2.0,9.0,6-8,3.0,2.5,Tomlin,Davies,Smith,4:02,D,10343.0,.79,2.0
176,"Saturday, Apr 17",ATL,@,CHC,L,4.0,13.0,9.0,6-9,5.0,3.0,Williams,Ynoa,None,3:23,D,10343.0,.90,-1.0
177,"Sunday, Apr 18",ATL,@,CHC,W,13.0,4.0,9.0,7-9,3.0,3.0,Wilson,Hendricks,None,3:26,N,10343.0,.84,1.0
178,"Tuesday, Apr 20",ATL,@,NYY,L,1.0,3.0,9.0,7-10,3.0,3.0,Loaisiga,Matzek,Chapman,3:06,N,10017.0,.90,-1.0
179,"Wednesday, Apr 21",ATL,@,NYY,W,4.0,1.0,9.0,8-10,3.0,2.0,Anderson,Kluber,None,3:16,N,9634.0,.88,1.0
180,"Friday, Apr 23",ATL,Home,ARI,W,5.0,4.0,9.0,9-10,2.0,1.5,Ynoa,Weaver,Smith,2:47,N,19258.0,.94,2.0
182,"Sunday, Apr 25 (2)",ATL,Home,ARI,L,0.0,7.0,7.0,9-12,3.0,2.5,Bumgarner,Smyly,None,2:11,N,20693.0,.95,-2.0
183,"Monday, Apr 26",ATL,Home,CHC,W,8.0,7.0,9.0,10-12,3.0,2.0,Morton,Workman,Smith,3:29,N,17956.0,.91,1.0
184,"Tuesday, Apr 27",ATL,Home,CHC,W,5.0,0.0,9.0,11-12,2.0,1.0,Anderson,Williams,None,2:46,N,17603.0,.91,2.0
185,"Wednesday, Apr 28",ATL,Home,CHC,W,10.0,0.0,9.0,12-12,1.0,Tied,Ynoa,Hendricks,None,2:56,N,18709.0,.97,3.0
186,"Thursday, Apr 29",ATL,Home,CHC,L,3.0,9.0,9.0,12-13,2.0,0.5,Alzolay,Wilson,None,3:15,N,19661.0,1.04,-1.0
187,"Friday, Apr 30",ATL,@,TOR,L,5.0,13.0,9.0,12-14,3.0,1.0,Ray,Smyly,None,3:17,N,1629.0,1.00,-2.0
188,"Saturday, May 1",ATL,@,TOR,L-wo,5.0,6.0,10.0,12-15,4.0,1.5,Romano,Jones,None,3:34,N,1634.0,.94,-3.0
189,"Sunday, May 2",ATL,@,TOR,L,2.0,7.0,9.0,12-16,4.0,2.5,Borucki,Anderson,Dolis,3:09,D,1554.0,.88,-4.0
190,"Tuesday, May 4",ATL,@,WSN,W,6.0,1.0,9.0,13-16,4.0,1.5,Ynoa,Ross,None,2:55,N,8156.0,1.01,1.0
191,"Wednesday, May 5",ATL,@,WSN,W,5.0,3.0,9.0,14-16,3.0,1.5,Fried,Fedde,Smith,2:49,N,8400.0,1.05,2.0
192,"Thursday, May 6",ATL,@,WSN,W,3.0,2.0,9.0,15-16,3.0,1.5,Smyly,Lester,Smith,2:53,D,8561.0,1.10,3.0
